# date: 2026-08-08T17:25:14Z
# machine: Apple M5, macOS 26.6
# warmup: 3  min_time: 1.0s
# swift: Apple Swift version 6.3.3 (swiftlang-6.3.3.1.3 clang-2100.1.1.101)
# rustc: rustc 1.96.1 (31fca3adb 2026-06-26)
# go: go version go1.26.5 darwin/arm64
# node: v26.5.0
# emacs: GNU Emacs 30.2
# note: the five syn-emphasis rows were re-measured minutes after the sweep,
# under the same binaries (SKIP_BUILD), because a background screen-render
# poisoned that file's window in the sweep proper. All three measurements of
# every re-measured row are recorded in bench/results/deltas.md.
runner	file	bytes	iters	median_ns	min_ns	mib_s
organism	syn-emphasis.org	1048629	27	36255083	35922041	27.58
orgize	syn-emphasis.org	1048629	79	11811875	9961375	84.66
go-org	syn-emphasis.org	1048629	48	21054521	20199834	47.50
uniorg	syn-emphasis.org	1048629	5	22830477958	22769801916	0.04
org-element	syn-emphasis.org	1048629	5	1324399000	1313212000	0.76
organism	syn-links.org	1048877	25	39520584	39207875	25.31
orgize	syn-links.org	1048877	426	2273167	2138291	440.04
go-org	syn-links.org	1048877	106	9398666	9068958	106.43
uniorg	syn-links.org	1048877	5	719606125	718279875	1.39
org-element	syn-links.org	1048877	5	161470000	159379000	6.19
organism	syn-lists.org	1050370	22	45125917	44798625	22.20
orgize	syn-lists.org	1050370	197	5058542	4842500	198.02
go-org	syn-lists.org	1050370	17	57201583	56880250	17.51
uniorg	syn-lists.org	1050370	5	4701219625	4652506375	0.21
org-element	syn-lists.org	1050370	5	828285000	819993000	1.21
organism	syn-outline.org	1048742	23	43166959	42099333	23.17
orgize	syn-outline.org	1048742	224	4468625	4257000	223.82
go-org	syn-outline.org	1048742	33	29995667	28442208	33.34
uniorg	syn-outline.org	1048742	5	274728667	273112166	3.64
org-element	syn-outline.org	1048742	5	394480000	392367000	2.54
organism	syn-prose.org	1049647	23	41192375	40498750	24.30
orgize	syn-prose.org	1049647	205	4542417	4032834	220.37
go-org	syn-prose.org	1049647	59	16844042	16174458	59.43
uniorg	syn-prose.org	1049647	5	628770500	624274833	1.59
org-element	syn-prose.org	1049647	5	330172000	329245000	3.03
organism	syn-radio.org	1048799	10	97480271	96812208	10.26
orgize	syn-radio.org	1048799	456	2156125	1987500	463.89
go-org	syn-radio.org	1048799	108	8958062	8678584	111.66
uniorg	syn-radio.org	1048799	5	9593888458	9424691584	0.10
org-element	syn-radio.org	1048799	7	127954000	127818000	7.82
organism	syn-tables.org	1048706	31	32063542	31588125	31.19
orgize	syn-tables.org	1048706	87	13177959	10976750	75.89
go-org	syn-tables.org	1048706	32	31436041	30527833	31.81
uniorg	syn-tables.org	1048706	5	4228262375	4206553750	0.24
org-element	syn-tables.org	1048706	5	689668000	685894000	1.45
organism	org-guide.org	88000	227	3972833	3830500	21.12
orgize	org-guide.org	88000	2875	313667	298250	267.56
go-org	org-guide.org	88000	296	3316583	3161125	25.30
uniorg	org-guide.org	88000	17	51401250	49201584	1.63
org-element	org-guide.org	88000	30	31806000	31410000	2.64
organism	org-manual.org	879952	19	50166417	49202500	16.73
orgize	org-manual.org	879952	236	4197167	4033458	199.94
go-org	org-manual.org	879952	15	37780875	36719625	22.21
uniorg	org-manual.org	879952	5	510666333	469206125	1.64
org-element	org-manual.org	879952	5	314329000	291288000	2.67
organism	appendix.org	9814	1807	501917	472000	18.65
orgize	appendix.org	9814	20000	34792	32625	269.01
go-org	appendix.org	9814	2547	348375	329791	26.87
uniorg	appendix.org	9814	139	6810333	6366625	1.37
org-element	appendix.org	9814	266	3555000	3432000	2.63
organism	contributing.org	8546	2081	444250	413958	18.35
orgize	contributing.org	8546	20000	27750	25750	293.70
go-org	contributing.org	8546	2891	331833	313291	24.56
uniorg	contributing.org	8546	142	6837937	6396625	1.19
org-element	contributing.org	8546	250	3828000	3500000	2.13
organism	examples.org	12815	1845	500666	458208	24.41
orgize	examples.org	12815	20000	31209	29750	391.60
go-org	examples.org	12815	1712	577229	547250	21.17
uniorg	examples.org	12815	265	3787250	3595042	3.23
org-element	examples.org	12815	381	2650000	2533000	4.61
organism	faq.org	47363	382	2636583	2333291	17.13
orgize	faq.org	47363	5007	156458	143625	288.70
go-org	faq.org	47363	611	1601375	1520000	28.21
uniorg	faq.org	47363	37	25175667	24347667	1.79
org-element	faq.org	47363	62	15728500	15352000	2.87
organism	getting_started.org	66035	308	2967458	2858125	21.22
orgize	getting_started.org	66035	3613	240166	215417	262.22
go-org	getting_started.org	66035	405	2635959	2405542	23.89
uniorg	getting_started.org	66035	22	46899063	43452583	1.34
org-element	getting_started.org	66035	33	25523000	23158000	2.47
organism	index.org	5247	3133	278084	264000	17.99
orgize	index.org	5247	20000	15667	15167	319.39
go-org	index.org	5247	3817	246458	239709	20.30
uniorg	index.org	5247	170	5715354	5449417	0.88
org-element	index.org	5247	348	2901000	2770000	1.72
organism	blocks.org	3918	2378	276708	265625	13.50
orgize	blocks.org	3918	20000	10625	10000	351.67
go-org	blocks.org	3918	4885	193916	182417	19.27
uniorg	blocks.org	3918	525	1777584	1674208	2.10
org-element	blocks.org	3918	1000	1047000	942000	3.57
organism	captions.org	397	7761	65167	60125	5.81
orgize	captions.org	397	20000	1708	1416	221.67
go-org	captions.org	397	20000	15542	13542	24.36
uniorg	captions.org	397	2965	297833	264042	1.27
org-element	captions.org	397	6410	146000	129000	2.59
organism	east_asian_line_breaks.org	176	20000	14375	13875	11.68
orgize	east_asian_line_breaks.org	176	20000	834	708	201.26
go-org	east_asian_line_breaks.org	176	20000	12083	11417	13.89
uniorg	east_asian_line_breaks.org	176	6946	117958	111625	1.42
org-element	east_asian_line_breaks.org	176	4672	153000	146000	1.10
organism	footnotes_in_headline.org	911	19138	40083	38291	21.67
orgize	footnotes_in_headline.org	911	20000	2334	2208	372.24
go-org	footnotes_in_headline.org	911	20000	29125	27125	29.83
uniorg	footnotes_in_headline.org	911	2960	319917	297000	2.72
org-element	footnotes_in_headline.org	911	3134	300000	281000	2.90
organism	footnotes.org	2090	7009	118834	104667	16.77
orgize	footnotes.org	2090	20000	8458	7958	235.66
go-org	footnotes.org	2090	9334	93792	90791	21.25
uniorg	footnotes.org	2090	574	1594417	1488125	1.25
org-element	footnotes.org	2090	1007	894000	843000	2.23
organism	headlines.org	1712	9397	91125	87750	17.92
orgize	headlines.org	1712	20000	5875	5583	277.90
go-org	headlines.org	1712	17081	57750	54500	28.27
uniorg	headlines.org	1712	906	1132208	1055042	1.44
org-element	headlines.org	1712	1158	854000	804000	1.91
organism	hl-lines.org	149	20000	15333	14042	9.27
orgize	hl-lines.org	149	20000	541	458	262.66
go-org	hl-lines.org	149	20000	7375	6792	19.27
uniorg	hl-lines.org	149	4948	62833	60583	2.26
org-element	hl-lines.org	149	9708	95000	80000	1.50
organism	inline.org	2790	3852	208833	191750	12.74
orgize	inline.org	2790	20000	12208	11750	217.95
go-org	inline.org	2790	5249	194750	182792	13.66
uniorg	inline.org	2790	224	4363562	4056792	0.61
org-element	inline.org	2790	428	2185000	2027000	1.22
organism	keywords.org	928	9313	98750	92250	8.96
orgize	keywords.org	928	20000	3250	3083	272.31
go-org	keywords.org	928	20000	33833	31750	26.16
uniorg	keywords.org	928	1741	510292	482208	1.73
org-element	keywords.org	928	2590	367000	350000	2.41
organism	latex.org	534	20000	31750	27583	16.04
orgize	latex.org	534	20000	3042	2708	167.41
go-org	latex.org	534	20000	39709	33542	12.82
uniorg	latex.org	534	575	1612916	1451292	0.32
org-element	latex.org	534	1647	568000	519000	0.90
organism	lists.org	1658	9353	96292	87833	16.42
orgize	lists.org	1658	20000	8708	8333	181.58
go-org	lists.org	1658	6315	139417	134333	11.34
uniorg	lists.org	1658	466	2014917	1894250	0.78
org-element	lists.org	1658	881	1146000	1029000	1.38
organism	misc.org	5417	1980	336542	322750	15.35
orgize	misc.org	5417	20000	23250	19542	222.20
go-org	misc.org	5417	3951	239083	229125	21.61
uniorg	misc.org	5417	169	6038583	5591417	0.86
org-element	misc.org	5417	297	3182000	2992000	1.62
organism	options.org	1822	15706	51750	50250	33.58
orgize	options.org	1822	20000	4792	4542	362.60
go-org	options.org	1822	20000	30250	28792	57.44
uniorg	options.org	1822	852	1068604	1000458	1.63
org-element	options.org	1822	1862	516000	492000	3.37
organism	paragraphs.org	262	20000	14000	13000	17.85
orgize	paragraphs.org	262	20000	875	750	285.56
go-org	paragraphs.org	262	20000	8625	8125	28.97
uniorg	paragraphs.org	262	3688	244542	236791	1.02
org-element	paragraphs.org	262	7299	135000	107000	1.85
