case	verdict	note
aff-at-eof	pass	
aff-attr-empty	pass	
aff-attr-no-backend	pass	
aff-attr-odd-backend	pass	
aff-attr-para	pass	
aff-before-comment	pass	
aff-before-fixed	pass	
aff-before-headline	pass	
aff-before-keyword	pass	
aff-blank-breaks	pass	
aff-caption-inside-item	pass	
aff-caption-name	pass	
aff-caption-para	pass	
aff-caption-short	pass	
aff-caption-table	pass	
aff-dual-two	pass	
aff-empty-value	pass	
aff-header-para	pass	
aff-lowercase	pass	
aff-name-para	pass	
aff-name-table	pass	
aff-plot-para	pass	
aff-results-hash	pass	
aff-results-para	pass	
aff-two-attr	pass	
aff-two-captions	pass	
aff-two-headers	pass	
besc-comment-comma-lines	pass	
besc-example-comma-lines	pass	
besc-example-in-item	pass	
besc-export-comma-lines	pass	
besc-latex-env-comma-lines	pass	
besc-src-comma-lines	pass	
besc-verse-comma-lines	pass	
captdual-bold	pass	
caption-bare	pass	
caption-bold	pass	
cc-cite-minus	pass	
cc-cite-uni	pass	
cc-drawer-dollar	pass	
cc-drawer-euro	pass	
cc-drawer-ord	pass	
cc-drawer-yen	pass	
cc-dyn-dollar	pass	
cc-dyn-sup2	pass	
cc-dyn-uni	pass	
cc-ent-sup2	pass	
cc-ent-uni	pass	
cc-fn-dollar	pass	
cc-fn-inline	pass	
cc-sub-sup2	pass	
cc-sup-minus	pass	
cc-tag-mark	pass	
cc-tag-modh	pass	
cc-tag-sup2	pass	
cell-bare	pass	
cell-bold	pass	
cell-cookie	pass	
cit-at-alone	pass	
cit-both-globals	pass	
cit-double-at	pass	
cit-global-prefix	pass	
cit-global-suffix	pass	
cit-in-item	pass	
cit-key-punct	pass	
cit-key-slash	pass	
cit-min	pass	
cit-multi-mixed	pass	
cit-multi	pass	
cit-no-key	pass	
cit-prefix-bold	pass	
cit-ref-both	pass	
cit-ref-prefix	pass	
cit-ref-suffix	pass	
cit-semi-only	pass	
cit-space-before-colon	pass	
cit-style-empty	pass	
cit-style-punct	pass	
cit-style-variant	pass	
cit-style	pass	
cit-suffix-code	pass	
cit-trailing-semi	pass	
cit-uni-key	pass	
cmt-hash-space	pass	
cmt-hash-tab-after-text	pass	
cmt-hash-tab-alone	pass	
cmt-hash-tab-tab	pass	
cmt-hash-tab	pass	
conf-affiliated-caption-forms	pass	
conf-affiliated-header-results-attr-plot	pass	
conf-block-center-parsed	pass	
conf-block-comment-literal	pass	
conf-block-example-literal	pass	
conf-block-example-switches	pass	
conf-block-export-html	pass	
conf-block-quote-parsed	pass	
conf-block-src-literal	pass	
conf-block-src-switches	pass	
conf-block-src-with-params	pass	
conf-block-verse-parsed-objects	pass	
conf-drawer-fused-name	pass	
conf-drawer-simple	pass	
conf-dynamic-block-simple	pass	
conf-easy-comment-line	pass	
conf-easy-commented-headline	pass	
conf-easy-heading-levels	pass	
conf-easy-horizontal-rule	pass	
conf-easy-keyword-simple	pass	
conf-easy-plain-paragraph-multiline	pass	
conf-easy-priority-and-tags-headline	pass	
conf-easy-table-simple	pass	
conf-emphasis-bold-simple	pass	
conf-emphasis-border-reject-midword	pass	
conf-emphasis-border-reject-verbatim-adjacent	pass	
conf-emphasis-code-simple	pass	
conf-emphasis-italic-simple	pass	
conf-emphasis-nested-bold-italic	pass	
conf-emphasis-reject-space-borders	pass	
conf-emphasis-verbatim-inside-bold	pass	
conf-emphasis-verbatim-simple	pass	
conf-fixed-width-simple	pass	
conf-footnote-definition-preblank	pass	
conf-footnote-definition-simple	pass	
conf-footnote-reference-simple	pass	
conf-headline-odd-levels	pass	
conf-keyword-name-attaches-to-table	pass	
conf-keyword-nonaffiliated-does-not-attach	pass	
conf-keyword-title-document-level	pass	
conf-latex-fragment-inline	pass	
conf-line-break-in-verse	pass	
conf-line-break-simple	pass	
conf-link-angle	pass	
conf-link-plain	pass	
conf-link-radio	pass	
