# date: 2026-08-08T11:36:57Z
# machine: Apple M5, macOS 26.6
# warmup: 3  min_time: 0.6s
# swift: Apple Swift version 6.3.3 (swiftlang-6.3.3.1.3 clang-2100.1.1.101)
# rustc: rustc 1.96.1 (31fca3adb 2026-06-26)
# go: go version go1.26.5 darwin/arm64
# node: v26.5.0
# emacs: GNU Emacs 30.2
runner	file	bytes	iters	median_ns	min_ns	mib_s
organism	syn-emphasis.org	1048629	5	641328208	628593750	1.56
orgize	syn-emphasis.org	1048629	49	11986708	10392250	83.43
go-org	syn-emphasis.org	1048629	27	23534667	22066917	42.49
uniorg	syn-emphasis.org	1048629	5	23040005083	22670294041	0.04
org-element	syn-emphasis.org	1048629	5	1444443000	1268888000	0.69
organism	syn-links.org	1048877	5	384890250	365787458	2.60
orgize	syn-links.org	1048877	259	2258584	2114417	442.88
go-org	syn-links.org	1048877	63	9275291	9082000	107.84
uniorg	syn-links.org	1048877	5	763742834	740743750	1.31
org-element	syn-links.org	1048877	5	159909000	159461000	6.26
organism	syn-lists.org	1050370	5	426574792	425564291	2.35
orgize	syn-lists.org	1050370	114	5313437	4938917	188.52
go-org	syn-lists.org	1050370	10	62072229	59305084	16.14
uniorg	syn-lists.org	1050370	5	4953582333	4928858042	0.20
org-element	syn-lists.org	1050370	5	868495000	861856000	1.15
organism	syn-outline.org	1048742	5	342900000	341297041	2.92
orgize	syn-outline.org	1048742	131	4484958	4325459	223.00
go-org	syn-outline.org	1048742	21	28830666	28348250	34.69
uniorg	syn-outline.org	1048742	5	311518833	279116000	3.21
org-element	syn-outline.org	1048742	5	407966000	402537000	2.45
organism	syn-prose.org	1049647	5	412787459	406046417	2.43
orgize	syn-prose.org	1049647	131	4216333	3988375	237.42
go-org	syn-prose.org	1049647	36	17937708	16316458	55.81
uniorg	syn-prose.org	1049647	5	619311667	619051542	1.62
org-element	syn-prose.org	1049647	5	333805000	329986000	3.00
organism	syn-radio.org	1048799	5	398171750	396973417	2.51
orgize	syn-radio.org	1048799	297	2164542	1979834	462.09
go-org	syn-radio.org	1048799	65	9236041	8965166	108.29
uniorg	syn-radio.org	1048799	5	9778013708	9662805750	0.10
org-element	syn-radio.org	1048799	5	128345000	128104000	7.79
organism	syn-tables.org	1048706	5	394371834	392083708	2.54
orgize	syn-tables.org	1048706	53	13697625	12505209	73.01
go-org	syn-tables.org	1048706	17	31497750	30586667	31.75
uniorg	syn-tables.org	1048706	5	4147953333	4133331000	0.24
org-element	syn-tables.org	1048706	5	712315000	706013000	1.40
organism	org-guide.org	88000	18	31369333	30872500	2.68
orgize	org-guide.org	88000	1762	306375	295250	273.92
go-org	org-guide.org	88000	171	3346666	3164416	25.08
uniorg	org-guide.org	88000	11	50529541	49505709	1.66
org-element	org-guide.org	88000	19	32057000	31465000	2.62
organism	org-manual.org	879952	FAIL	-	-	-
orgize	org-manual.org	879952	142	4187625	4045875	200.40
go-org	org-manual.org	879952	17	35585417	34514875	23.58
uniorg	org-manual.org	879952	5	451218875	450062875	1.86
org-element	org-manual.org	879952	5	283790000	282991000	2.96
organism	appendix.org	9814	154	3823146	3710625	2.45
orgize	appendix.org	9814	16881	31667	30500	295.56
go-org	appendix.org	9814	1440	331084	320292	28.27
uniorg	appendix.org	9814	87	6571834	6255208	1.42
org-element	appendix.org	9814	171	3568000	3435000	2.62
organism	contributing.org	8546	172	3250458	3097917	2.51
orgize	contributing.org	8546	20000	24500	23125	332.66
go-org	contributing.org	8546	1752	310875	300167	26.22
uniorg	contributing.org	8546	89	6487458	6240667	1.26
org-element	contributing.org	8546	161	3518000	3352000	2.32
organism	examples.org	12815	192	2913041	2803292	4.20
orgize	examples.org	12815	18485	30334	28709	402.89
go-org	examples.org	12815	1065	540792	526667	22.60
uniorg	examples.org	12815	170	3537146	3348000	3.46
org-element	examples.org	12815	229	2546000	2449000	4.80
organism	faq.org	47363	34	17360895	17028875	2.60
orgize	faq.org	47363	3450	145750	134708	309.91
go-org	faq.org	47363	382	1509979	1469583	29.91
uniorg	faq.org	47363	23	24577584	24075042	1.84
org-element	faq.org	47363	37	15879000	15615000	2.84
organism	getting_started.org	66035	21	23637417	22482500	2.66
orgize	getting_started.org	66035	2255	221959	212167	283.73
go-org	getting_started.org	66035	243	2493000	2325208	25.26
uniorg	getting_started.org	66035	14	40566791	39903792	1.55
org-element	getting_started.org	66035	25	23020000	22502000	2.74
organism	index.org	5247	296	1983687	1876916	2.52
orgize	index.org	5247	20000	15625	15000	320.25
go-org	index.org	5247	2252	253604	242042	19.73
uniorg	index.org	5247	103	5801625	5490292	0.86
org-element	index.org	5247	180	2938000	2771000	1.70
organism	blocks.org	5994	274	2128229	1999833	2.69
orgize	blocks.org	5994	20000	21667	20709	263.83
go-org	blocks.org	5994	2204	257666	246000	22.18
uniorg	blocks.org	5994	159	3716208	3424167	1.54
org-element	blocks.org	5994	295	1964000	1854000	2.91
organism	headings.org	1241	642	809542	769084	1.46
orgize	headings.org	1241	20000	10292	9833	114.99
go-org	headings.org	1241	7675	71417	69209	16.57
uniorg	headings.org	1241	249	2294375	1981375	0.52
org-element	headings.org	1241	488	1268000	1192000	0.93
organism	keywords.org	1151	778	648312	617916	1.69
orgize	keywords.org	1151	20000	7375	7000	148.84
go-org	keywords.org	1151	4367	48333	46750	22.71
uniorg	keywords.org	1151	258	1535792	1341958	0.71
org-element	keywords.org	1151	524	979000	913000	1.12
organism	lists.org	289	2400	205166	195875	1.34
orgize	lists.org	289	20000	2959	2750	93.14
go-org	lists.org	289	13433	39375	37959	7.00
uniorg	lists.org	289	927	653750	594417	0.42
org-element	lists.org	289	1293	459000	430000	0.60
organism	pathological.org	64	11009	44667	42958	1.37
orgize	pathological.org	64	20000	667	583	91.51
go-org	pathological.org	64	20000	3750	3292	16.28
uniorg	pathological.org	64	4137	137458	132500	0.44
org-element	pathological.org	64	3896	116000	109000	0.53
organism	tags.org	931	815	625958	599666	1.42
orgize	tags.org	931	20000	7625	7250	116.44
go-org	tags.org	931	12587	45000	42291	19.73
uniorg	tags.org	931	401	1475500	1374500	0.60
org-element	tags.org	931	584	1015000	956000	0.87
organism	text.org	4756	230	2461000	2373917	1.84
orgize	text.org	4756	19565	19917	19041	227.73
go-org	text.org	4756	2400	193167	188709	23.48
uniorg	text.org	4756	95	6346292	6128000	0.71
org-element	text.org	4756	197	3078000	2889000	1.47
